Turtle ID,Observation Date,Observation Time,Given Lat,Given Lon,Observation Town
ST2014-710,21-Nov-14,,,,Brewster
ST2014-711,21-Nov-14,,,,Brewster
ST2014-712,21-Nov-14,,,,Brewster
ST2014-713,21-Nov-14,,,,Brewster
ST2014-714,21-Nov-14,,,,Brewster
st2014-715,21-Nov-14,,,,Brewster
st2014-715.1,21-Nov-14,,,,Brewster
st2014-716,21-Nov-14,,,,Brewster
ST2014-717,21-Nov-14,,,,Brewster
ST2014-718,21-Nov-14,,,,Brewster
ST2014-719,21-Nov-14,,,,Wellfleet
ST2014-720,21-Nov-14,,,,Wellfleet
ST2014-721,21-Nov-14,,,,Truro
ST2014-722,21-Nov-14,,,,Truro
ST2014-723,21-Nov-14,,,,Truro
ST2014-724,21-Nov-14,,,,Truro
ST2014-725,21-Nov-14,,,,Truro
ST2014-726,21-Nov-14,,,,Wellfleet
ST2014-728,21-Nov-14,16:00,,,Eastham
ST2014-734,21-Nov-14,,,,Truro
ST2014-735,21-Nov-14,11:30,,,Truro
ST2014-736,21-Nov-14,7:30,,,Eastham
ST2014-737,21-Nov-14,8:00,,,Eastham
ST2014-738,21-Nov-14,16:00,,,Eastham
ST2014-739,21-Nov-14,18:00,,,Eastham
ST2014-740,21-Nov-14,22:45,,,Eastham
ST2014-742,21-Nov-14,22:40,,,Eastham
ST2014-742,21-Nov-14,22:40,,,Eastham
,20-Nov-14,,,,Truro
ST2014-416,20-Nov-14,,42.030425,-70.093874,Truro
ST2014-424,20-Nov-14,21:30,41.827042,-70.004027,Eastham
ST2014-438,20-Nov-14,9:30,,,Wellfleet
ST2014-439,20-Nov-14,9:30,,,Wellfleet
ST2014-440,20-Nov-14,9:30,,,Wellfleet
ST2014-441,20-Nov-14,9:30,,,Wellfleet
ST2014-442,20-Nov-14,9:30,,,Wellfleet
ST2014-444,20-Nov-14,9:50,,,Wellfleet
ST2014-451,20-Nov-14,,,,Eastham
ST2014-452,20-Nov-14,,,,Eastham
ST2014-453,20-Nov-14,,,,Eastham
ST2014-456,20-Nov-14,,,,Wellfleet
ST2014-457,20-Nov-14,,,,Wellfleet
ST2014-458,20-Nov-14,8:30,41.950719,-70.076533,Eastham
ST2014-459,20-Nov-14,9:40,41.820536,-70.003928,Eastham
ST2014-460,20-Nov-14,9:15,,,Eastham
ST2014-461,20-Nov-14,10:00,,,Wellfleet
ST2014-462,20-Nov-14,10:00,41.806454,-70.002639,Eastham
ST2014-463,20-Nov-14,9:45,41.913627,-70.072362,Wellfleet
ST2014-464,20-Nov-14,9:45,41.93865,-70.073899,Wellfleet
ST2014-465,20-Nov-14,9:45,41.936608,-70.072977,Wellfleet
ST2014-466,20-Nov-14,9:30,,,Dennis
ST2014-470,20-Nov-14,10:00,41.837474,-70.004452,Eastham
ST2014-471,20-Nov-14,9:55,,,Eastham
ST2014-472,20-Nov-14,10:00,,,Eastham
ST2014-473,20-Nov-14,10:05,41.862888,-70.007776,Eastham
ST2014-474,20-Nov-14,9:20,42.030425,-70.093874,Truro
ST2014-475,20-Nov-14,9:25,,,Truro
ST2014-476,20-Nov-14,9:25,42.030018,-70.093351,Truro
ST2014-477,20-Nov-14,9:30,42.029626,-70.093115,Truro
ST2014-478,20-Nov-14,9:30,42.030427,-70.093764,Truro
ST2014-479,20-Nov-14,9:30,42.030471,-70.093874,Truro
ST2014-479,20-Nov-14,,,,Truro
ST2014-480,20-Nov-14,9:30,42.030018,-70.093351,Truro
ST2014-481,20-Nov-14,9:40,42.030453,-70.093861,Truro
ST2014-482,20-Nov-14,9:40,42.030803,-70.094083,Truro
ST2014-483,20-Nov-14,9:40,,,Truro
ST2014-484,20-Nov-14,10:00,,,Truro
ST2014-485,20-Nov-14,10:10,,,Truro
ST2014-487,20-Nov-14,10:15,,,Truro
ST2014-488,20-Nov-14,10:15,42.030528,-70.093983,Truro
ST2014-489,20-Nov-14,10:15,,,Truro
ST2014-490,20-Nov-14,10:20,,,Truro
ST2014-491,20-Nov-14,10:20,,,Truro
ST2014-492,20-Nov-14,10:20,,,Truro
ST2014-493,20-Nov-14,10:20,42.02965,-70.093346,Truro
ST2014-494,20-Nov-14,10:20,,,Truro
ST2014-495,20-Nov-14,10:20,,,Eastham
ST2014-496,20-Nov-14,11:00,41.876755,-70.008729,Eastham
ST2014-497,20-Nov-14,11:10,,,Eastham
ST2014-498,20-Nov-14,,,,Truro
ST2014-499,20-Nov-14,,,,Truro
ST2014-500,20-Nov-14,,,,Truro
ST2014-501,20-Nov-14,,,,Truro
ST2014-503,20-Nov-14,10:20,,,Truro
ST2014-504,20-Nov-14,,,,Truro
ST2014-505,20-Nov-14,8:30,,,Wellfleet
ST2014-506,20-Nov-14,11:30,,,Wellfleet
ST2014-507,20-Nov-14,11:30,,,Wellfleet
ST2014-508,20-Nov-14,11:30,,,Wellfleet
ST2014-509,20-Nov-14,11:30,,,Wellfleet
ST2014-510,20-Nov-14,11:30,,,Wellfleet
ST2014-511,20-Nov-14,,,,Eastham
ST2014-512,20-Nov-14,11:30,,,Eastham
ST2014-513,20-Nov-14,11:30,41.950719,-70.076533,Wellfleet
ST2014-514,20-Nov-14,11:30,,,Wellfleet
ST2014-515,20-Nov-14,11:00,,,Dennis
ST2014-516,20-Nov-14,12:30,,,Eastham
ST2014-517,20-Nov-14,13:00,,,Wellfleet
ST2014-518,20-Nov-14,13:00,,,Wellfleet
ST2014-519,20-Nov-14,13:00,,,Wellfleet
ST2014-520,20-Nov-14,12:45,,,Eastham
ST2014-521,20-Nov-14,12:45,,,Eastham
ST2014-522,20-Nov-14,12:45,41.866856,-70.008498,Eastham
ST2014-523,20-Nov-14,12:45,,,Eastham
ST2014-524,20-Nov-14,12:00,,,Truro
ST2014-524,20-Nov-14,12:00,,-70.080581,Truro
ST2014-525,20-Nov-14,,,,North Truro
ST2014-526,20-Nov-14,12:00,41.999955,-70.080581,Truro
ST2014-527,20-Nov-14,12:30,,,Truro
ST2014-528,20-Nov-14,12:30,,,Truro
ST2014-529,20-Nov-14,13:00,,,Truro
ST2014-530,20-Nov-14,13:00,,,Truro
ST2014-531,20-Nov-14,13:00,,,North Truro
ST2014-532,20-Nov-14,13:00,,,North Truro
ST2014-533,20-Nov-14,13:00,,,Truro
ST2014-534,20-Nov-14,13:00,,,Truro
ST2014-535,20-Nov-14,13:00,,,Truro
ST2014-536,20-Nov-14,13:00,,,Truro
ST2014-537,20-Nov-14,13:00,,,North Truro
ST2014-538,20-Nov-14,13:00,,,Truro
ST2014-539,20-Nov-14,13:00,,,Truro
ST2014-541,20-Nov-14,14:00,,,Wellfleet
ST2014-542,20-Nov-14,13:00,,,North Truro
ST2014-543,20-Nov-14,13:00,,,North Truro
ST2014-544,20-Nov-14,13:00,,,Truro
ST2014-545,20-Nov-14,,,,Truro
ST2014-546,20-Nov-14,13:00,,,Truro
ST2014-547,20-Nov-14,16:00,,,Wellfleet
ST2014-548,20-Nov-14,,,,Truro
ST2014-549,20-Nov-14,,,,Truro
ST2014-550,20-Nov-14,23:45,,,Wellfleet
ST2014-551,20-Nov-14,22:00,,,Truro
ST2014-552,20-Nov-14,,,,Truro
ST2014-553,20-Nov-14,,,,Truro
ST2014-554,20-Nov-14,,,,Truro
ST2014-555,20-Nov-14,,,,Truro
ST2014-556,20-Nov-14,,,,Truro
ST2014-556.1,20-Nov-14,,,,Truro
ST2014-557,20-Nov-14,,,,Truro
ST2014-558,20-Nov-14,,,,Truro
ST2014-559,20-Nov-14,,,,Truro
ST2014-560,20-Nov-14,,,,Truro
ST2014-561,20-Nov-14,,,,Truro
ST2014-562,20-Nov-14,,,,Truro
ST2014-563,20-Nov-14,22:00,,,Truro
st2014-564,20-Nov-14,22:00,,,Truro
ST2014-569,20-Nov-14,23:10,,,Eastham
ST2014-570,20-Nov-14,23:15,,,Eastham
ST2014-571,20-Nov-14,22:15,,,Eastham
ST2014-572,20-Nov-14,22:35,,,Eastham
ST2014-573,20-Nov-14,22:35,,,Eastham
ST2014-574,20-Nov-14,22:10,,,Eastham
ST2014-575,20-Nov-14,22:18,,,Eastham
ST2014-576,20-Nov-14,22:25,,,Eastham
ST2014-577,20-Nov-14,22:45,,,Eastham
ST2014-578,20-Nov-14,23:20,,,Eastham
ST2014-579,20-Nov-14,22:25,,,Eastham
ST2014-580,20-Nov-14,22:15,,,Eastham
ST2014-581,20-Nov-14,22:20,,,Eastham
ST2014-790,20-Nov-14,12:25,,,Eastham
ST2014-258,19-Nov-14,,,,Wellfleet
ST2014-263,19-Nov-14,,,,Eastham
ST2014-264,19-Nov-14,,41.843372,-70.005234,Eastham
ST2014-265,19-Nov-14,,41.844893,-70.005433,Eastham
ST2014-266,19-Nov-14,,41.843372,-70.005234,Eastham
ST2014-267,19-Nov-14,7:00,41.844464,-70.005433,Eastham
ST2014-268,19-Nov-14,,,,Eastham
ST2014-269,19-Nov-14,,41.850611,-70.006182,Eastham
ST2014-270,19-Nov-14,7:00,41.963716,-70.076968,Truro
ST2014-271,19-Nov-14,,41.850705,-70.006179,Eastham
ST2014-273,19-Nov-14,,,,Eastham
ST2014-274,19-Nov-14,,,,Eastham
ST2014-275,19-Nov-14,,41.850072,-70.006153,Eastham
ST2014-276,19-Nov-14,,,,Eastham
ST2014-277,19-Nov-14,,,,Eastham
ST2014-278,19-Nov-14,,,,Eastham
ST2014-279,19-Nov-14,,,,Eastham
ST2014-280,19-Nov-14,,,,Eastham
ST2014-281,19-Nov-14,,,,Eastham
ST2014-282,19-Nov-14,,,,Eastham
ST2014-283,19-Nov-14,,,,Eastham
ST2014-284,19-Nov-14,,,,Eastham
ST2014-286,19-Nov-14,,,,Eastham
ST2014-287,19-Nov-14,,,,Eastham
ST2014-289,19-Nov-14,,,,Eastham
ST2014-292,19-Nov-14,,,,Eastham
ST2014-292,19-Nov-14,,,,Eastham
ST2014-293,19-Nov-14,,41.843372,-70.005234,Eastham
ST2014-294,19-Nov-14,,41.843244,-70.00518,Eastham
ST2014-295,19-Nov-14,,41.843329,-70.0052,Eastham
ST2014-296,19-Nov-14,,41.873335,-70.009336,Eastham
ST2014-297,19-Nov-14,,,,Eastham
ST2014-300,19-Nov-14,7:00,,,Eastham
ST2014-301,19-Nov-14,,,,Truro
ST2014-302,19-Nov-14,,41.99709,-70.079953,Truro
ST2014-303,19-Nov-14,7:00,,,Wellfleet
ST2014-304,19-Nov-14,,41.90606,-70.015973,Wellfleet
ST2014-305,19-Nov-14,,,,Wellfleet
ST2014-306,19-Nov-14,,41.862943,-70.007684,Eastham
ST2014-307,19-Nov-14,,41.862644,-70.007725,Eastham
ST2014-310,19-Nov-14,,,,Wellfleet
ST2014-311,19-Nov-14,,41.943438,-70.076411,Wellfleet
ST2014-312,19-Nov-14,,41.946068,-70.076735,Wellfleet
ST2014-313,19-Nov-14,,41.95017,-70.076289,Wellfleet
ST2014-314,19-Nov-14,9:45,,,Eastham
ST2014-315,19-Nov-14,,,,Eastham
ST2014-317,19-Nov-14,,,,Eastham
ST2014-319,19-Nov-14,,,,Eastham
ST2014-320,19-Nov-14,,,,Eastham
ST2014-321,19-Nov-14,,41.837245,-70.004407,Eastham
ST2014-322,19-Nov-14,,,,Eastham
ST2014-323,19-Nov-14,,,,Eastham
ST2014-324,19-Nov-14,,,,Eastham
ST2014-325,19-Nov-14,,,,Eastham
ST2014-326,19-Nov-14,,,,Eastham
ST2014-327,19-Nov-14,,,,Eastham
ST2014-328,19-Nov-14,,,,Eastham
ST2014-329,19-Nov-14,,,,Eastham
ST2014-330,19-Nov-14,,,,Eastham
ST2014-331,19-Nov-14,,,,Wellfleet
ST2014-332,19-Nov-14,,,,Eastham
ST2014-333,19-Nov-14,,,,Eastham
ST2014-334,19-Nov-14,,,,Eastham
ST2014-335,19-Nov-14,,41.820417,-70.00402,Eastham
ST2014-336,19-Nov-14,,,,Truro
ST2014-337,19-Nov-14,,41.988221,-70.078297,Truro
ST2014-338,19-Nov-14,,41.957825,-70.077298,Wellfleet
ST2014-339,19-Nov-14,,41.957825,-70.077298,Wellfleet
ST2014-340,19-Nov-14,,,,Truro
ST2014-341,19-Nov-14,,,,Truro
ST2014-342,19-Nov-14,,,,Truro
ST2014-343,19-Nov-14,,,,Truro
ST2014-344,19-Nov-14,,,,Eastham
ST2014-345,19-Nov-14,,41.985465,-70.077898,Truro
ST2014-346,19-Nov-14,,41.986656,-70.077833,Truro
ST2014-347,19-Nov-14,,41.957288,-70.077212,Wellfleet
ST2014-348,19-Nov-14,,41.924199,-70.072749,Wellfleet
ST2014-349,19-Nov-14,,41.924199,-70.072749,Wellfleet
ST2014-350,19-Nov-14,,41.947439,-70.07675,Wellfleet
ST2014-351,19-Nov-14,,41.947439,-70.07675,Wellfleet
ST2014-352,19-Nov-14,,,,Wellfleet
ST2014-352,19-Nov-14,,,,Eastham
ST2014-353,19-Nov-14,11:19,41.913627,-70.072362,Wellfleet
ST2014-354,19-Nov-14,,41.913627,-70.072362,Wellfleet
ST2014-355,19-Nov-14,,41.947137,-70.076784,Wellfleet
ST2014-356,19-Nov-14,,,,Wellfleet
ST2014-357,19-Nov-14,,41.963716,-70.076968,Truro
ST2014-358,19-Nov-14,,,,Wellfleet
ST2014-359,19-Nov-14,,41.999682,-70.08057,Truro
ST2014-360,19-Nov-14,,41.999635,-70.080633,Truro
ST2014-361,19-Nov-14,,,,Truro
ST2014-362,19-Nov-14,,41.962719,-70.07707,Truro
ST2014-363,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-364,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-365,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-366,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-367,19-Nov-14,,41.963716,-70.076968,Truro
ST2014-368,19-Nov-14,,41.963716,-70.076968,Truro
ST2014-369,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-370,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-371,19-Nov-14,,41.963274,-70.07707,Truro
ST2014-372,19-Nov-14,,41.963716,-70.076968,Truro
ST2014-373,19-Nov-14,,,,Wellfleet
ST2014-374,19-Nov-14,,,,Wellfleet
ST2014-375,19-Nov-14,,,,Eastham
ST2014-376,19-Nov-14,,41.85035,-70.006143,Eastham
ST2014-377,19-Nov-14,,41.850949,-70.006174,Eastham
ST2014-378,19-Nov-14,,41.85035,-70.006143,Eastham
ST2014-379,19-Nov-14,,41.85035,-70.006143,Eastham
ST2014-380,19-Nov-14,,41.85035,-70.006143,Eastham
ST2014-381,19-Nov-14,,41.963599,-70.076898,Truro
ST2014-382,19-Nov-14,,41.963716,-70.076968,Truro
ST2014-383,19-Nov-14,,,,Truro
ST2014-384,19-Nov-14,,,,Brewster
ST2014-385,19-Nov-14,,41.904077,-70.005435,Wellfleet
ST2014-386,19-Nov-14,,,,Wellfleet
ST2014-387,19-Nov-14,,,,Wellfleet
ST2014-388,19-Nov-14,,,,Wellfleet
ST2014-389,19-Nov-14,,41.946556,-70.076818,Wellfleet
ST2014-390,19-Nov-14,,41.937442,-70.028496,Wellfleet
ST2014-391,19-Nov-14,,41.819344,-70.004247,Eastham
ST2014-392,19-Nov-14,,41.819161,-70.00418,Eastham
ST2014-393,19-Nov-14,,41.92472,-70.033738,Wellfleet
ST2014-394,19-Nov-14,,41.923506,-70.032644,Wellfleet
ST2014-395,19-Nov-14,9:20,,,Wellfleet
ST2014-396,19-Nov-14,13:20,,,Orleans
ST2014-397,19-Nov-14,14:00,,,Eastham
ST2014-398,19-Nov-14,14:00,41.830387,-70.004054,Eastham
ST2014-399,19-Nov-14,14:00,41.830447,-70.003953,Eastham
ST2014-400,19-Nov-14,14:00,,,Eastham
ST2014-401,19-Nov-14,15:30,41.79496,-70.016695,Orleans
ST2014-402,19-Nov-14,15:30,41.79496,-70.016695,Orleans
ST2014-403,19-Nov-14,,41.98457,-70.0779,Truro
ST2014-404,19-Nov-14,,,,Bourne
ST2014-405,19-Nov-14,,41.79496,-70.016695,Orleans
ST2014-406,19-Nov-14,,,,Wellfleet
ST2014-407,19-Nov-14,,,,Wellfleet
ST2014-408,19-Nov-14,,41.983657,-70.077496,Truro
ST2014-409,19-Nov-14,,41.983564,-70.077407,Truro
ST2014-410,19-Nov-14,,,,Truro
ST2014-411,19-Nov-14,,,,Truro
ST2014-412,19-Nov-14,,,,Wellfleet
ST2014-413,19-Nov-14,,,,Wellfleet
ST2014-414,19-Nov-14,,,,Wellfleet
ST2014-415,19-Nov-14,,41.820643,-70.003984,Eastham
ST2014-417,19-Nov-14,22:15,41.820858,-70.004081,Eastham
ST2014-418,19-Nov-14,21:20,,,Eastham
ST2014-419,19-Nov-14,21:35,,,Eastham
ST2014-420,19-Nov-14,22:10,,,Eastham
ST2014-421,19-Nov-14,21:30,,,Eastham
ST2014-422,19-Nov-14,16:30,,,Eastham
ST2014-423,19-Nov-14,21:30,,,Eastham
ST2014-425,19-Nov-14,21:30,,,Eastham
ST2014-426,19-Nov-14,21:30,,,Eastham
ST2014-427,19-Nov-14,,,,Eastham
ST2014-428,19-Nov-14,,,,Eastham
ST2014-429,19-Nov-14,21:30,,,Eastham
ST2014-430,19-Nov-14,21:30,41.862841,-70.007725,Eastham
ST2014-431,19-Nov-14,21:30,,,Eastham
ST2014-432,19-Nov-14,,,,Eastham
ST2014-433,19-Nov-14,,,,Eastham
ST2014-434,19-Nov-14,21:15,,,Eastham
ST2014-435,19-Nov-14,22:00,,,Eastham
ST2014-436,19-Nov-14,21:45,,,Eastham
ST2014-437,19-Nov-14,21:45,41.821187,-70.003987,Eastham
ST2014-445,19-Nov-14,21:10,41.830672,-70.004053,Eastham
ST2014-446,19-Nov-14,21:10,41.843511,-70.005197,Eastham
ST2014-447,19-Nov-14,9:15,,,Eastham
ST2014-448,19-Nov-14,9:25,,,Eastham
ST2014-449,19-Nov-14,9:35,41.850491,-70.006125,Eastham
ST2014-450,19-Nov-14,10:00,,,Eastham
ST2014-454,19-Nov-14,,41.871545,-70.008833,Eastham
ST2014-455,19-Nov-14,,41.871673,-70.008928,Eastham
ST2014-467,19-Nov-14,9:15,,,Eastham
ST2014-468,19-Nov-14,9:20,41.843719,-70.005297,Eastham
ST2014-469,19-Nov-14,10:00,41.837652,-70.004475,Eastham
ST2014-486,19-Nov-14,10:10,41.913627,-70.072362,Wellfleet
ST2014-502,19-Nov-14,,,,Truro
ST2012-258,18-Nov-14,,41.918532,-70.072283,Wellfleet
ST2014-131,18-Nov-14,14:50,41.967495,-70.076736,Truro
ST2014-137,18-Nov-14,18:55,41.85046,-70.006101,Eastham
ST2014-1378,18-Nov-14,8:00,,,Hull
ST2014-217,18-Nov-14,8:20,41.863986,-70.008063,Eastham
ST2014-218,18-Nov-14,9:00,41.843903,-70.005237,Eastham
ST2014-219,18-Nov-14,9:10,41.946276,-70.076773,Wellfleet
ST2014-220,18-Nov-14,9:10,41.946904,-70.07685,Wellfleet
ST2014-221,18-Nov-14,9:15,41.918406,-70.030931,Wellfleet
ST2014-222,18-Nov-14,,41.920812,-70.073057,Wellfleet
ST2014-223,18-Nov-14,,41.918166,-70.072541,Wellfleet
ST2014-224,18-Nov-14,9:45,41.906446,-70.065964,Wellfleet
ST2014-225,18-Nov-14,9:46,41.906297,-70.016086,Wellfleet
ST2014-226,18-Nov-14,10:00,41.916058,-70.062237,Wellfleet
ST2014-227,18-Nov-14,11:30,41.862897,-70.007755,Eastham
ST2014-228,18-Nov-14,13:30,41.977833,-70.077048,Truro
ST2014-229,18-Nov-14,13:30,41.977442,-70.076884,Truro
ST2014-230,18-Nov-14,13:30,41.993217,-70.079475,Truro
ST2014-231,18-Nov-14,,,,Truro
ST2014-232,18-Nov-14,18:30,41.844037,-70.005279,Eastham
ST2014-233,18-Nov-14,18:45,41.850488,-70.006059,Eastham
ST2014-234,18-Nov-14,18:45,41.838342,-70.00451,Eastham
ST2014-235,18-Nov-14,18:45,41.882893,-70.005739,Eastham
ST2014-236,18-Nov-14,19:10,41.831141,-70.004056,Eastham
ST2014-237,18-Nov-14,18:55,41.85046,-70.006101,Eastham
ST2014-238,18-Nov-14,19:00,41.837275,-70.004276,Eastham
ST2014-239,18-Nov-14,19:00,41.83561,-70.00423,Eastham
ST2014-240,18-Nov-14,18:45,41.930274,-70.073158,Wellfleet
ST2014-241,18-Nov-14,18:50,41.946974,-70.077204,Wellfleet
ST2014-242,18-Nov-14,19:00,41.955197,-70.076528,Wellfleet
ST2014-244,18-Nov-14,,41.916162,-70.072082,Wellfleet
ST2014-245,18-Nov-14,,41.897587,-70.071559,Wellfleet
ST2014-246,18-Nov-14,,41.897587,-70.071559,Wellfleet
ST2014-247,18-Nov-14,20:15,41.871197,-70.008936,Eastham
ST2014-248,18-Nov-14,,41.910646,-70.071573,Wellfleet
ST2014-249,18-Nov-14,,,,Wellfleet
ST2014-250,18-Nov-14,,,,Wellfleet
ST2014-251,18-Nov-14,,41.912325,-70.072695,Wellfleet
ST2014-253,18-Nov-14,7:00,41.865103,-70.00822,Eastham
ST2014-254,18-Nov-14,7:00,41.865103,-70.00822,Eastham
ST2014-255,18-Nov-14,,41.924024,-70.072778,Wellfleet
ST2014-256,18-Nov-14,,41.92194,-70.072566,Wellfleet
ST2014-257,18-Nov-14,,41.92194,-70.072566,Wellfleet
ST2014-259,18-Nov-14,,41.912325,-70.072695,Wellfleet
ST2014-260,18-Nov-14,,41.910646,-70.072402,Wellfleet
ST2014-261,18-Nov-14,,41.905944,-70.071573,Wellfleet
ST2014-262,18-Nov-14,,41.912325,-70.072695,Wellfleet
ST2014-265,18-Nov-14,,41.843719,-70.005297,Truro
ST2014-272,18-Nov-14,,,,Eastham
ST2014-285,18-Nov-14,,,,Eastham
ST2014-288,18-Nov-14,,,,Eastham
ST2014-290,18-Nov-14,,,,Eastham
ST2014-299,18-Nov-14,21:50,41.995555,-70.079523,Truro
ST2014-316,18-Nov-14,,,,Eastham
ST2014-318,18-Nov-14,,,,Eastham
